SampleID	Gender	FastqR1	FastqR2	Flowcell	Lane	BAM	gVCF
NA12878_1	.	.	.	.	.	/cbio/projects/020/gerrit/nextflow-out/NA12878/NA12878_1.dedup.cram	.
NA12878_2	.	.	.	.	.	/cbio/projects/020/gerrit/nextflow-out/NA12878/NA12878_2.dedup.cram	.
