SampleID	Gender	FastqR1	FastqR2	Flowcell	Lane	BAM	gVCF
NA12878_small_1	.	/cbio/datasets/human/giab/fastq/NA12878/NA12878_1_small.fastq.gz	/cbio/datasets/human/giab/fastq/NA12878/NA12878_2_small.fastq.gz	HHTN2BBXX	0	.	.
NA12878_small_2	.	/cbio/datasets/human/giab/fastq/NA12878/NA12878_1_small.fastq.gz	/cbio/datasets/human/giab/fastq/NA12878/NA12878_2_small.fastq.gz	HHTN2BBXX	0	.	.
