SampleID	Gender	FastqR1	FastqR2	Flowcell	Lane	BAM	gVCF
NA12878_1	.	/cbio/datasets/human/giab/fastq/NA12878/NA12878_1.fastq.gz	/cbio/datasets/human/giab/fastq/NA12878/NA12878_2.fastq.gz	HHTN2BBXX	0	.	.
NA12878_2	.	/cbio/datasets/human/giab/fastq/NA12878/NA12878_1.fastq.gz	/cbio/datasets/human/giab/fastq/NA12878/NA12878_2.fastq.gz	HHTN2BBXX	0	.	.
